Sample ID,Region,Test Type,Status,Test Date,Rejection Reason
TEST-1,Haryana,Bay Leaf,Completed,2025-02-02,None
TEST-2,Tamil Nadu,Nutmeg,Completed,2025-01-06,None
TEST-3,Tamil Nadu,Cinnamon,Pending,2025-02-13,None
TEST-4,Tamil Nadu,Cinnamon,Rejected,2025-01-18,Contamination
TEST-5,Tamil Nadu,Bay Leaf,Rejected,2025-03-02,None
TEST-6,Haryana,Cardamom,Pending,2025-01-11,None
TEST-7,Tamil Nadu,Clove,Completed,2025-02-19,None
TEST-8,Rajasthan,Clove,Pending,2025-03-25,None
TEST-9,Rajasthan,Cinnamon,Completed,2025-01-24,None
TEST-10,Rajasthan,Clove,Rejected,2025-03-26,None
TEST-11,Haryana,Cinnamon,Rejected,2025-01-13,Incorrect Sample
TEST-12,Kerala,Cinnamon,Pending,2025-03-12,None
TEST-13,Kerala,Nutmeg,Rejected,2024-12-31,Contamination
TEST-14,Haryana,Clove,Pending,2025-02-11,None
TEST-15,Rajasthan,Cinnamon,Completed,2025-03-15,None
TEST-16,Kerala,Cardamom,Rejected,2025-02-19,None
TEST-17,Uttar Pradesh,Nutmeg,Completed,2025-01-02,None
TEST-18,Rajasthan,Clove,Rejected,2025-01-13,Incorrect Sample
TEST-19,Haryana,Cinnamon,Completed,2025-02-10,None
TEST-20,Tamil Nadu,Cardamom,Pending,2025-03-12,None
TEST-21,Tamil Nadu,Bay Leaf,Rejected,2025-03-12,Incorrect Sample
TEST-22,Rajasthan,Nutmeg,Pending,2025-03-09,None
TEST-23,Rajasthan,Cinnamon,Pending,2025-02-18,None
TEST-24,Kerala,Nutmeg,Rejected,2025-03-26,Incorrect Sample
TEST-25,Rajasthan,Nutmeg,Rejected,2025-03-17,None
TEST-26,Rajasthan,Nutmeg,Rejected,2025-03-26,Incorrect Sample
TEST-27,Rajasthan,Cardamom,Completed,2025-02-08,None
TEST-28,Rajasthan,Clove,Completed,2025-01-05,None
TEST-29,Haryana,Cardamom,Pending,2025-02-06,None
TEST-30,Rajasthan,Cardamom,Completed,2025-02-18,None
TEST-31,Haryana,Bay Leaf,Completed,2025-01-19,None
TEST-32,Rajasthan,Nutmeg,Pending,2025-03-17,None
TEST-33,Tamil Nadu,Cardamom,Rejected,2025-03-17,Contamination
TEST-34,Kerala,Cardamom,Pending,2025-02-06,None
TEST-35,Haryana,Cardamom,Completed,2025-01-09,None
TEST-36,Uttar Pradesh,Cardamom,Rejected,2025-03-15,None
TEST-37,Rajasthan,Cinnamon,Rejected,2025-03-21,Incorrect Sample
TEST-38,Uttar Pradesh,Cinnamon,Completed,2025-03-09,None
TEST-39,Haryana,Cardamom,Rejected,2025-01-06,Contamination
TEST-40,Rajasthan,Nutmeg,Rejected,2025-03-14,Contamination
TEST-41,Haryana,Bay Leaf,Rejected,2025-02-17,Contamination
TEST-42,Tamil Nadu,Clove,Rejected,2025-01-04,None
TEST-43,Rajasthan,Bay Leaf,Completed,2025-02-05,None
TEST-44,Kerala,Cardamom,Completed,2025-02-05,None
TEST-45,Haryana,Clove,Completed,2025-03-16,None
TEST-46,Uttar Pradesh,Bay Leaf,Completed,2025-01-29,None
TEST-47,Tamil Nadu,Nutmeg,Rejected,2025-03-25,Contamination
TEST-48,Haryana,Cinnamon,Rejected,2025-03-22,None
TEST-49,Uttar Pradesh,Nutmeg,Rejected,2025-02-12,None
TEST-50,Kerala,Nutmeg,Completed,2025-03-08,None
TEST-51,Tamil Nadu,Cinnamon,Rejected,2025-03-07,Incorrect Sample
TEST-52,Rajasthan,Clove,Completed,2025-02-20,None
TEST-53,Uttar Pradesh,Cardamom,Completed,2025-01-05,None
TEST-54,Kerala,Cardamom,Pending,2025-03-31,None
TEST-55,Uttar Pradesh,Nutmeg,Completed,2025-02-28,None
TEST-56,Uttar Pradesh,Bay Leaf,Rejected,2025-02-28,Incorrect Sample
TEST-57,Haryana,Bay Leaf,Rejected,2025-01-06,None
TEST-58,Kerala,Clove,Completed,2025-01-24,None
TEST-59,Haryana,Cinnamon,Completed,2025-01-14,None
TEST-60,Haryana,Bay Leaf,Rejected,2025-03-28,Incorrect Sample
TEST-61,Uttar Pradesh,Clove,Completed,2025-02-11,None
TEST-62,Uttar Pradesh,Cardamom,Completed,2025-01-25,None
TEST-63,Uttar Pradesh,Bay Leaf,Pending,2025-02-06,None
TEST-64,Uttar Pradesh,Cinnamon,Rejected,2025-01-25,None
TEST-65,Uttar Pradesh,Clove,Rejected,2025-03-24,Contamination
TEST-66,Haryana,Cinnamon,Rejected,2025-02-11,None
TEST-67,Haryana,Cinnamon,Completed,2025-01-29,None
TEST-68,Tamil Nadu,Cardamom,Rejected,2025-01-26,Contamination
TEST-69,Tamil Nadu,Clove,Rejected,2025-01-16,None
TEST-70,Kerala,Clove,Rejected,2025-02-23,None
TEST-71,Uttar Pradesh,Cinnamon,Completed,2025-01-17,None
TEST-72,Uttar Pradesh,Bay Leaf,Pending,2025-03-30,None
TEST-73,Uttar Pradesh,Cinnamon,Completed,2025-01-31,None
TEST-74,Haryana,Cinnamon,Pending,2025-02-23,None
TEST-75,Rajasthan,Bay Leaf,Rejected,2025-03-05,None
TEST-76,Rajasthan,Clove,Rejected,2025-03-18,Incorrect Sample
TEST-77,Kerala,Bay Leaf,Rejected,2025-02-20,None
TEST-78,Uttar Pradesh,Nutmeg,Rejected,2025-01-29,Contamination
TEST-79,Uttar Pradesh,Nutmeg,Pending,2025-01-23,None
TEST-80,Haryana,Clove,Rejected,2025-03-12,None
TEST-81,Kerala,Cardamom,Completed,2025-02-13,None
TEST-82,Kerala,Clove,Rejected,2025-03-01,None
TEST-83,Uttar Pradesh,Bay Leaf,Completed,2025-03-07,None
TEST-84,Tamil Nadu,Clove,Pending,2025-02-12,None
TEST-85,Rajasthan,Nutmeg,Pending,2025-02-09,None
TEST-86,Uttar Pradesh,Cinnamon,Pending,2025-02-08,None
TEST-87,Tamil Nadu,Nutmeg,Pending,2025-02-20,None
TEST-88,Tamil Nadu,Cardamom,Rejected,2025-03-04,None
TEST-89,Uttar Pradesh,Cardamom,Pending,2025-01-11,None
TEST-90,Tamil Nadu,Bay Leaf,Pending,2025-02-09,None
TEST-91,Tamil Nadu,Clove,Rejected,2025-03-28,Incorrect Sample
TEST-92,Rajasthan,Clove,Rejected,2025-02-09,None
TEST-93,Kerala,Bay Leaf,Rejected,2025-01-01,Contamination
TEST-94,Haryana,Cinnamon,Completed,2025-02-20,None
TEST-95,Kerala,Nutmeg,Completed,2025-01-09,None
TEST-96,Tamil Nadu,Cinnamon,Pending,2024-12-31,None
TEST-97,Tamil Nadu,Bay Leaf,Completed,2025-01-25,None
TEST-98,Tamil Nadu,Cardamom,Pending,2025-02-02,None
TEST-99,Kerala,Cinnamon,Pending,2025-03-07,None
TEST-100,Haryana,Cardamom,Rejected,2025-03-14,None
TEST-101,Uttar Pradesh,Cardamom,Completed,2024-12-31,None
TEST-102,Haryana,Bay Leaf,Rejected,2025-03-03,Contamination
TEST-103,Haryana,Cinnamon,Pending,2025-03-29,None
TEST-104,Kerala,Nutmeg,Rejected,2025-02-14,Contamination
TEST-105,Uttar Pradesh,Bay Leaf,Pending,2025-03-16,None
TEST-106,Kerala,Cinnamon,Rejected,2025-01-29,Contamination
TEST-107,Haryana,Cardamom,Rejected,2025-02-10,Incorrect Sample
TEST-108,Uttar Pradesh,Cinnamon,Pending,2025-01-11,None
TEST-109,Tamil Nadu,Clove,Completed,2025-02-15,None
TEST-110,Kerala,Cardamom,Rejected,2025-02-15,None
TEST-111,Haryana,Cardamom,Rejected,2025-01-23,None
TEST-112,Rajasthan,Nutmeg,Completed,2025-03-09,None
TEST-113,Haryana,Cinnamon,Rejected,2025-03-05,None
TEST-114,Uttar Pradesh,Clove,Completed,2025-01-08,None
TEST-115,Uttar Pradesh,Cinnamon,Rejected,2025-02-20,Incorrect Sample
TEST-116,Kerala,Bay Leaf,Completed,2025-03-07,None
TEST-117,Tamil Nadu,Cardamom,Rejected,2025-01-18,Incorrect Sample
TEST-118,Kerala,Clove,Pending,2025-02-06,None
TEST-119,Kerala,Cardamom,Pending,2025-03-17,None
TEST-120,Uttar Pradesh,Bay Leaf,Pending,2025-01-31,None
TEST-121,Rajasthan,Bay Leaf,Rejected,2025-02-24,None
TEST-122,Tamil Nadu,Cardamom,Completed,2025-01-09,None
TEST-123,Haryana,Clove,Completed,2025-02-08,None
TEST-124,Haryana,Bay Leaf,Completed,2025-01-15,None
TEST-125,Rajasthan,Cinnamon,Completed,2025-01-05,None
TEST-126,Uttar Pradesh,Nutmeg,Rejected,2025-03-17,Incorrect Sample
TEST-127,Tamil Nadu,Cinnamon,Rejected,2025-03-20,Incorrect Sample
TEST-128,Haryana,Cardamom,Pending,2025-02-04,None
TEST-129,Kerala,Nutmeg,Rejected,2025-01-09,Contamination
TEST-130,Uttar Pradesh,Nutmeg,Rejected,2025-01-22,Incorrect Sample
TEST-131,Kerala,Cinnamon,Rejected,2025-02-06,Contamination
TEST-132,Tamil Nadu,Cardamom,Completed,2025-03-03,None
TEST-133,Haryana,Cardamom,Rejected,2025-01-23,Incorrect Sample
TEST-134,Uttar Pradesh,Clove,Completed,2025-01-25,None
TEST-135,Kerala,Bay Leaf,Pending,2025-02-20,None
TEST-136,Kerala,Clove,Completed,2025-01-31,None
TEST-137,Haryana,Nutmeg,Completed,2025-02-28,None
TEST-138,Haryana,Cinnamon,Pending,2025-01-07,None
TEST-139,Tamil Nadu,Cinnamon,Pending,2025-01-27,None
TEST-140,Uttar Pradesh,Cinnamon,Pending,2025-02-26,None
TEST-141,Rajasthan,Nutmeg,Completed,2025-03-01,None
TEST-142,Rajasthan,Clove,Pending,2025-03-01,None
TEST-143,Uttar Pradesh,Bay Leaf,Rejected,2025-02-23,Incorrect Sample
TEST-144,Uttar Pradesh,Cinnamon,Completed,2025-02-17,None
TEST-145,Rajasthan,Cardamom,Completed,2025-01-15,None
TEST-146,Tamil Nadu,Cardamom,Pending,2025-03-06,None
TEST-147,Rajasthan,Clove,Completed,2025-03-05,None
TEST-148,Uttar Pradesh,Nutmeg,Pending,2025-02-02,None
TEST-149,Rajasthan,Cinnamon,Pending,2025-02-07,None
TEST-150,Rajasthan,Cardamom,Pending,2025-01-20,None
TEST-151,Haryana,Cardamom,Rejected,2025-02-22,Incorrect Sample
TEST-152,Uttar Pradesh,Cardamom,Completed,2025-01-23,None
TEST-153,Uttar Pradesh,Clove,Pending,2025-03-05,None
